id,c0_x,c0_y,c0_z,c1_x,c1_y,c1_z,c2_x,c2_y,c2_z,c3_x,c3_y,c3_z
0,28.995,-29.375,3.9990000000000028,28.995,-29.025,3.9990000000000028,28.645,-29.025,3.9990000000000028,28.645,-29.375,3.9990000000000028
1,27.495,-29.375,3.9990000000000028,27.495,-29.025,3.9990000000000028,27.145,-29.025,3.9990000000000028,27.145,-29.375,3.9990000000000028
2,25.995,-29.375,3.9990000000000028,25.995,-29.025,3.9990000000000028,25.645,-29.025,3.9990000000000028,25.645,-29.375,3.9990000000000028
3,24.495,-29.375,3.9990000000000028,24.495,-29.025,3.9990000000000028,24.145000000000003,-29.025,3.9990000000000028,24.145000000000003,-29.375,3.9990000000000028
4,22.995,-29.375,3.9990000000000028,22.995,-29.025,3.9990000000000028,22.645000000000003,-29.025,3.9990000000000028,22.645000000000003,-29.375,3.9990000000000028
5,21.495,-29.375,3.9990000000000028,21.495,-29.025,3.9990000000000028,21.145000000000003,-29.025,3.9990000000000028,21.145000000000003,-29.375,3.9990000000000028
6,19.995,-29.375,3.9990000000000028,19.995,-29.025,3.9990000000000028,19.645000000000003,-29.025,3.9990000000000028,19.645000000000003,-29.375,3.9990000000000028
7,18.495,-29.375,3.9990000000000028,18.495,-29.025,3.9990000000000028,18.145000000000003,-29.025,3.9990000000000028,18.145000000000003,-29.375,3.9990000000000028
8,16.995,-29.375,3.9990000000000028,16.995,-29.025,3.9990000000000028,16.645000000000003,-29.025,3.9990000000000028,16.645000000000003,-29.375,3.9990000000000028
9,15.495000000000001,-29.375,3.9990000000000028,15.495000000000001,-29.025,3.9990000000000028,15.145000000000001,-29.025,3.9990000000000028,15.145000000000001,-29.375,3.9990000000000028
10,13.995000000000001,-29.375,3.9990000000000028,13.995000000000001,-29.025,3.9990000000000028,13.645000000000001,-29.025,3.9990000000000028,13.645000000000001,-29.375,3.9990000000000028
11,12.495000000000001,-29.375,3.9990000000000028,12.495000000000001,-29.025,3.9990000000000028,12.145,-29.025,3.9990000000000028,12.145,-29.375,3.9990000000000028
12,10.995000000000001,-29.375,3.9990000000000028,10.995000000000001,-29.025,3.9990000000000028,10.645,-29.025,3.9990000000000028,10.645,-29.375,3.9990000000000028
13,9.495000000000001,-29.375,3.9990000000000028,9.495000000000001,-29.025,3.9990000000000028,9.145,-29.025,3.9990000000000028,9.145,-29.375,3.9990000000000028
14,7.995000000000001,-29.375,3.9990000000000028,7.995000000000001,-29.025,3.9990000000000028,7.645,-29.025,3.9990000000000028,7.645,-29.375,3.9990000000000028
15,6.495000000000001,-29.375,3.9990000000000028,6.495000000000001,-29.025,3.9990000000000028,6.145,-29.025,3.9990000000000028,6.145,-29.375,3.9990000000000028
16,4.995000000000001,-29.375,3.9990000000000028,4.995000000000001,-29.025,3.9990000000000028,4.645,-29.025,3.9990000000000028,4.645,-29.375,3.9990000000000028
17,3.495000000000001,-29.375,3.9990000000000028,3.495000000000001,-29.025,3.9990000000000028,3.1449999999999996,-29.025,3.9990000000000028,3.1449999999999996,-29.375,3.9990000000000028
18,1.995000000000001,-29.375,3.9990000000000028,1.995000000000001,-29.025,3.9990000000000028,1.6449999999999996,-29.025,3.9990000000000028,1.6449999999999996,-29.375,3.9990000000000028
19,0.495000000000001,-29.375,3.9990000000000028,0.495000000000001,-29.025,3.9990000000000028,0.14499999999999957,-29.025,3.9990000000000028,0.14499999999999957,-29.375,3.9990000000000028
