id,c0_x,c0_y,c0_z,c1_x,c1_y,c1_z,c2_x,c2_y,c2_z,c3_x,c3_y,c3_z
0,-20.762553462704258,-7.3283649888325195,1.1749999999999998,-20.57344765565041,-7.033850144149756,1.1749999999999998,-20.57344765565041,-7.033850144149756,0.825,-20.762553462704258,-7.3283649888325195,0.825
1,-20.27175378199266,-7.784181028136241,1.1749999999999998,-20.62136410373441,-7.767669731045168,1.1749999999999998,-20.62136410373441,-7.767669731045168,0.825,-20.27175378199266,-7.784181028136241,0.825
2,-20.11432859133892,-7.047979413252316,1.1749999999999998,-19.953825681963398,-7.3590080551520485,1.1749999999999998,-19.953825681963398,-7.3590080551520485,0.825,-20.11432859133892,-7.047979413252316,0.825
3,-8.518027893599175,-18.181079394091398,1.175,-8.493269873015478,-17.831956148779977,1.175,-8.493269873015478,-17.831956148779977,0.825,-8.518027893599175,-18.181079394091398,0.825
4,-7.868780802277699,-18.34579370034236,1.175,-8.183508661596083,-18.49891579074367,1.175,-8.183508661596083,-18.49891579074367,0.825,-7.868780802277699,-18.34579370034236,0.825
5,-8.083581055894717,-17.624242344265657,1.175,-7.7936114273299735,-17.820246462870404,1.175,-7.7936114273299735,-17.820246462870404,0.825,-8.083581055894717,-17.624242344265657,0.825
6,2.933951433155043,-17.43114965304027,1.175,3.2411053298166737,-17.59894859155174,1.175,3.2411053298166737,-17.59894859155174,0.825,2.933951433155043,-17.43114965304027,0.825
7,2.5139950151288053,-17.95296302507255,1.175,2.5057344953653233,-17.603060518917996,1.175,2.5057344953653233,-17.603060518917996,0.825,2.5139950151288053,-17.95296302507255,0.825
8,3.259488252564177,-18.057917021414713,1.175,2.9605922682476753,-18.24001916461866,1.175,2.9605922682476753,-18.24001916461866,0.825,3.259488252564177,-18.057917021414713,0.825
9,25.024031024908425,-17.579549815957762,1.175,24.978935451904988,-17.926632499616126,1.175,24.978935451904988,-17.926632499616126,0.825,25.024031024908425,-17.579549815957762,0.825
10,24.38550610197992,-17.377217141700033,1.175,24.708635650601547,-17.242728127994138,1.175,24.708635650601547,-17.242728127994138,0.825,24.38550610197992,-17.377217141700033,0.825
11,24.55782013065519,-18.110076871751943,1.175,24.27978653785169,-17.897480255427087,1.175,24.27978653785169,-17.897480255427087,0.825,24.55782013065519,-18.110076871751943,0.825
12,13.585554266415597,-27.558710477193884,1.175,13.439902873624098,-27.87696457658287,1.175,13.439902873624098,-27.87696457658287,0.825,13.585554266415597,-27.558710477193884,0.825
13,13.035341502036868,-27.17671767335086,1.175,13.383783171673839,-27.143726722158153,1.175,13.383783171673839,-27.143726722158153,0.825,13.035341502036868,-27.17671767335086,0.825
14,12.98338452233988,-27.927767592244965,1.175,12.78059548192383,-27.64250174240111,1.175,12.78059548192383,-27.64250174240111,0.825,12.98338452233988,-27.927767592244965,0.825
15,-8.5443944841197,-7.745086403180576,1.175,-8.657545832521926,-7.413881372489981,1.175,-8.657545832521926,-7.413881372489981,0.825,-8.5443944841197,-7.745086403180576,0.825
16,-7.882255540738892,-7.6439695997714585,1.175,-8.112510545068169,-7.907565185814405,1.175,-8.112510545068169,-7.907565185814405,0.825,-7.882255540738892,-7.6439695997714585,0.825
17,-8.361085008821401,-7.0630239492103355,1.175,-8.017677695552182,-7.130636205445547,1.175,-8.017677695552182,-7.130636205445547,0.825,-8.361085008821401,-7.0630239492103355,0.825
18,14.55605747930314,-7.112388085607478,1.1749999999999998,14.8904252504971,-7.008956013276009,1.1749999999999998,14.8904252504971,-7.008956013276009,0.825,14.55605747930314,-7.112388085607478,0.825
